character, frequency in ciphertext, freqency in english
a, 91, 199.50599999999997
b, 86, 36.495
c, 68, 68.124
d, 29, 104.619
e, 106, 308.991
f, 108, 53.526
g, 130, 48.66
h, 100, 148.41299999999998
i, 100, 170.31
j, 59, 3.8928000000000003
k, 61, 18.7341
l, 95, 97.32
m, 74, 58.391999999999996
n, 52, 163.011
o, 60, 182.475
p, 36, 46.227
q, 33, 2.9196
r, 102, 145.98
s, 112, 153.279
t, 78, 221.403
u, 58, 68.124
v, 105, 23.843400000000003
w, 84, 58.391999999999996
x, 91, 3.6494999999999997
y, 42, 48.66
z, 68, 1.80042
